[Name]
inlet

[Spatial Fields]
y

[Data]
y[m],Velocity u [m/s],Velocity v [m/s],Velocity w [m/s]
0.313554,0.215880,0.0,0.0
0.313964,0.215242,0.0,0.0
0.314374,0.214603,0.0,0.0
0.314785,0.213961,0.0,0.0
0.315195,0.213316,0.0,0.0
0.315606,0.212669,0.0,0.0
0.316016,0.212020,0.0,0.0
0.316426,0.211368,0.0,0.0
0.316837,0.210714,0.0,0.0
0.317247,0.210058,0.0,0.0
0.317658,0.209399,0.0,0.0
0.318068,0.208737,0.0,0.0
0.318478,0.208074,0.0,0.0
0.318889,0.207407,0.0,0.0
0.319299,0.206739,0.0,0.0
0.319710,0.206068,0.0,0.0
0.320120,0.205395,0.0,0.0
0.320531,0.204719,0.0,0.0
0.320941,0.204041,0.0,0.0
0.321351,0.203360,0.0,0.0
0.321762,0.202677,0.0,0.0
0.322172,0.201992,0.0,0.0
0.322583,0.201304,0.0,0.0
0.322993,0.200614,0.0,0.0
0.323403,0.199921,0.0,0.0
0.323814,0.199226,0.0,0.0
0.324224,0.198529,0.0,0.0
0.324635,0.197829,0.0,0.0
0.325045,0.197127,0.0,0.0
0.325455,0.196422,0.0,0.0
0.325866,0.195715,0.0,0.0
0.326276,0.195006,0.0,0.0
0.326687,0.194294,0.0,0.0
0.327097,0.193580,0.0,0.0
0.327508,0.192863,0.0,0.0
0.327918,0.192144,0.0,0.0
0.328328,0.191423,0.0,0.0
0.328739,0.190699,0.0,0.0
0.329149,0.189973,0.0,0.0
0.329560,0.189244,0.0,0.0
0.329970,0.188513,0.0,0.0
0.330380,0.187779,0.0,0.0
0.330791,0.187043,0.0,0.0
0.331201,0.186305,0.0,0.0
0.331612,0.185565,0.0,0.0
0.332022,0.184821,0.0,0.0
0.332432,0.184076,0.0,0.0
0.332843,0.183328,0.0,0.0
0.333253,0.182578,0.0,0.0
0.333664,0.181825,0.0,0.0
0.334074,0.181070,0.0,0.0
0.334484,0.180312,0.0,0.0
0.334895,0.179553,0.0,0.0
0.335305,0.178790,0.0,0.0
0.335716,0.178025,0.0,0.0
0.336126,0.177258,0.0,0.0
0.336537,0.176489,0.0,0.0
0.336947,0.175717,0.0,0.0
0.337357,0.174943,0.0,0.0
0.337768,0.174166,0.0,0.0
0.338178,0.173387,0.0,0.0
0.338589,0.172605,0.0,0.0
0.338999,0.171821,0.0,0.0
0.339409,0.171035,0.0,0.0
0.339820,0.170246,0.0,0.0
0.340230,0.169455,0.0,0.0
0.340641,0.168661,0.0,0.0
0.341051,0.167865,0.0,0.0
0.341461,0.167067,0.0,0.0
0.341872,0.166266,0.0,0.0
0.342282,0.165463,0.0,0.0
0.342693,0.164657,0.0,0.0
0.343103,0.163849,0.0,0.0
0.343514,0.163039,0.0,0.0
0.343924,0.162226,0.0,0.0
0.344334,0.161411,0.0,0.0
0.344745,0.160593,0.0,0.0
0.345155,0.159773,0.0,0.0
0.345566,0.158951,0.0,0.0
0.345976,0.158126,0.0,0.0
0.346386,0.157298,0.0,0.0
0.346797,0.156469,0.0,0.0
0.347207,0.155637,0.0,0.0
0.347618,0.154802,0.0,0.0
0.348028,0.153965,0.0,0.0
0.348438,0.153126,0.0,0.0
0.348849,0.152284,0.0,0.0
0.349259,0.151440,0.0,0.0
0.349670,0.150594,0.0,0.0
0.350080,0.149745,0.0,0.0
0.350490,0.148894,0.0,0.0
0.350901,0.148040,0.0,0.0
0.351311,0.147184,0.0,0.0
0.351722,0.146325,0.0,0.0
0.352132,0.145464,0.0,0.0
0.352543,0.144601,0.0,0.0
0.352953,0.143735,0.0,0.0
0.353363,0.142867,0.0,0.0
0.353774,0.141997,0.0,0.0
0.354184,0.141124,0.0,0.0
0.354595,0.140248,0.0,0.0
0.355005,0.139371,0.0,0.0
0.355415,0.138490,0.0,0.0
0.355826,0.137608,0.0,0.0
0.356236,0.136723,0.0,0.0
0.356647,0.135836,0.0,0.0
0.357057,0.134946,0.0,0.0
0.357467,0.134054,0.0,0.0
0.357878,0.133159,0.0,0.0
0.358288,0.132262,0.0,0.0
0.358699,0.131363,0.0,0.0
0.359109,0.130461,0.0,0.0
0.359520,0.129557,0.0,0.0
0.359930,0.128650,0.0,0.0
0.360340,0.127741,0.0,0.0
0.360751,0.126830,0.0,0.0
0.361161,0.125916,0.0,0.0
0.361572,0.124999,0.0,0.0
0.361982,0.124081,0.0,0.0
0.362392,0.123160,0.0,0.0
0.362803,0.122236,0.0,0.0
0.363213,0.121310,0.0,0.0
0.363624,0.120382,0.0,0.0
0.364034,0.119452,0.0,0.0
0.364444,0.118519,0.0,0.0
0.364855,0.117583,0.0,0.0
0.365265,0.116645,0.0,0.0
0.365676,0.115705,0.0,0.0
0.366086,0.114762,0.0,0.0
0.366496,0.113817,0.0,0.0
0.366907,0.112870,0.0,0.0
0.367317,0.111920,0.0,0.0
0.367728,0.110967,0.0,0.0
0.368138,0.110013,0.0,0.0
0.368549,0.109056,0.0,0.0
0.368959,0.108096,0.0,0.0
0.369369,0.107134,0.0,0.0
0.369780,0.106170,0.0,0.0
0.370190,0.105203,0.0,0.0
0.370601,0.104234,0.0,0.0
0.371011,0.103262,0.0,0.0
0.371421,0.102288,0.0,0.0
0.371832,0.101312,0.0,0.0
0.372242,0.100333,0.0,0.0
0.372653,0.099352,0.0,0.0
0.373063,0.098369,0.0,0.0
0.373473,0.097383,0.0,0.0
0.373884,0.096394,0.0,0.0
0.374294,0.095404,0.0,0.0
0.374705,0.094410,0.0,0.0
0.375115,0.093415,0.0,0.0
0.375526,0.092417,0.0,0.0
0.375936,0.091416,0.0,0.0
0.376346,0.090414,0.0,0.0
0.376757,0.089408,0.0,0.0
0.377167,0.088401,0.0,0.0
0.377578,0.087391,0.0,0.0
0.377988,0.086378,0.0,0.0
0.378398,0.085363,0.0,0.0
0.378809,0.084346,0.0,0.0
0.379219,0.083327,0.0,0.0
0.379630,0.082305,0.0,0.0
0.380040,0.081280,0.0,0.0
0.380450,0.080253,0.0,0.0
0.380861,0.079224,0.0,0.0
0.381271,0.078192,0.0,0.0
0.381682,0.077158,0.0,0.0
0.382092,0.076122,0.0,0.0
0.382503,0.075083,0.0,0.0
0.382913,0.074042,0.0,0.0
0.383323,0.072998,0.0,0.0
0.383734,0.071952,0.0,0.0
0.384144,0.070903,0.0,0.0
0.384555,0.069852,0.0,0.0
0.384965,0.068799,0.0,0.0
0.385375,0.067743,0.0,0.0
0.385786,0.066685,0.0,0.0
0.386196,0.065625,0.0,0.0
0.386607,0.064562,0.0,0.0
0.387017,0.063497,0.0,0.0
0.387427,0.062429,0.0,0.0
0.387838,0.061359,0.0,0.0
0.388248,0.060286,0.0,0.0
0.388659,0.059211,0.0,0.0
0.389069,0.058134,0.0,0.0
0.389479,0.057054,0.0,0.0
0.389890,0.055972,0.0,0.0
0.390300,0.054887,0.0,0.0
0.390711,0.053800,0.0,0.0
0.391121,0.052711,0.0,0.0
0.391532,0.051619,0.0,0.0
0.391942,0.050525,0.0,0.0
0.392352,0.049428,0.0,0.0
0.392763,0.048329,0.0,0.0
0.393173,0.047228,0.0,0.0
0.393584,0.046124,0.0,0.0
0.393994,0.045018,0.0,0.0
0.394404,0.043909,0.0,0.0
0.394815,0.042798,0.0,0.0
0.395225,0.041685,0.0,0.0
0.395636,0.040569,0.0,0.0
0.396046,0.039451,0.0,0.0
0.396456,0.038330,0.0,0.0
0.396867,0.037207,0.0,0.0
0.397277,0.036082,0.0,0.0
0.397688,0.034954,0.0,0.0
0.398098,0.033824,0.0,0.0
0.398509,0.032691,0.0,0.0
0.398919,0.031556,0.0,0.0
0.399329,0.030418,0.0,0.0
0.399740,0.029279,0.0,0.0
0.400150,0.028136,0.0,0.0
0.400561,0.026992,0.0,0.0
0.400971,0.025844,0.0,0.0
0.401381,0.024695,0.0,0.0
0.401792,0.023543,0.0,0.0
0.402202,0.022389,0.0,0.0
0.402613,0.021232,0.0,0.0
0.403023,0.020073,0.0,0.0
0.403433,0.018911,0.0,0.0
0.403844,0.017747,0.0,0.0
0.404254,0.016581,0.0,0.0
0.404665,0.015412,0.0,0.0
0.405075,0.014241,0.0,0.0
0.405485,0.013068,0.0,0.0
0.405896,0.011892,0.0,0.0
0.406306,0.010713,0.0,0.0
0.406717,0.009533,0.0,0.0
0.407127,0.008349,0.0,0.0
0.407538,0.007164,0.0,0.0
0.407948,0.005976,0.0,0.0
0.408358,0.004786,0.0,0.0
0.408769,0.003593,0.0,0.0
0.409179,0.002398,0.0,0.0
0.409590,0.001200,0.0,0.0
0.410000,0.000000,0.0,0.0
