[Name]
inlet

[Spatial Fields]
y

[Data]
y[m],Velocity u [m/s],Velocity v [m/s],Velocity w [m/s]
0.071411,0.172605,0.0,0.0
0.071822,0.173387,0.0,0.0
0.072232,0.174166,0.0,0.0
0.072643,0.174943,0.0,0.0
0.073053,0.175717,0.0,0.0
0.073463,0.176489,0.0,0.0
0.073874,0.177258,0.0,0.0
0.074284,0.178025,0.0,0.0
0.074695,0.178790,0.0,0.0
0.075105,0.179553,0.0,0.0
0.075516,0.180312,0.0,0.0
0.075926,0.181070,0.0,0.0
0.076336,0.181825,0.0,0.0
0.076747,0.182578,0.0,0.0
0.077157,0.183328,0.0,0.0
0.077568,0.184076,0.0,0.0
0.077978,0.184821,0.0,0.0
0.078388,0.185565,0.0,0.0
0.078799,0.186305,0.0,0.0
0.079209,0.187043,0.0,0.0
0.079620,0.187779,0.0,0.0
0.080030,0.188513,0.0,0.0
0.080440,0.189244,0.0,0.0
0.080851,0.189973,0.0,0.0
0.081261,0.190699,0.0,0.0
0.081672,0.191423,0.0,0.0
0.082082,0.192144,0.0,0.0
0.082492,0.192863,0.0,0.0
0.082903,0.193580,0.0,0.0
0.083313,0.194294,0.0,0.0
0.083724,0.195006,0.0,0.0
0.084134,0.195715,0.0,0.0
0.084545,0.196422,0.0,0.0
0.084955,0.197127,0.0,0.0
0.085365,0.197829,0.0,0.0
0.085776,0.198529,0.0,0.0
0.086186,0.199226,0.0,0.0
0.086597,0.199921,0.0,0.0
0.087007,0.200614,0.0,0.0
0.087417,0.201304,0.0,0.0
0.087828,0.201992,0.0,0.0
0.088238,0.202677,0.0,0.0
0.088649,0.203360,0.0,0.0
0.089059,0.204041,0.0,0.0
0.089469,0.204719,0.0,0.0
0.089880,0.205395,0.0,0.0
0.090290,0.206068,0.0,0.0
0.090701,0.206739,0.0,0.0
0.091111,0.207407,0.0,0.0
0.091522,0.208074,0.0,0.0
0.091932,0.208737,0.0,0.0
0.092342,0.209399,0.0,0.0
0.092753,0.210058,0.0,0.0
0.093163,0.210714,0.0,0.0
0.093574,0.211368,0.0,0.0
0.093984,0.212020,0.0,0.0
0.094394,0.212669,0.0,0.0
0.094805,0.213316,0.0,0.0
0.095215,0.213961,0.0,0.0
0.095626,0.214603,0.0,0.0
0.096036,0.215242,0.0,0.0
0.096446,0.215880,0.0,0.0
0.096857,0.216514,0.0,0.0
0.097267,0.217147,0.0,0.0
0.097678,0.217777,0.0,0.0
0.098088,0.218405,0.0,0.0
0.098498,0.219030,0.0,0.0
0.098909,0.219653,0.0,0.0
0.099319,0.220273,0.0,0.0
0.099730,0.220891,0.0,0.0
0.100140,0.221507,0.0,0.0
0.100551,0.222120,0.0,0.0
0.100961,0.222731,0.0,0.0
0.101371,0.223339,0.0,0.0
0.101782,0.223945,0.0,0.0
0.102192,0.224549,0.0,0.0
0.102603,0.225150,0.0,0.0
0.103013,0.225749,0.0,0.0
0.103423,0.226345,0.0,0.0
0.103834,0.226939,0.0,0.0
0.104244,0.227531,0.0,0.0
0.104655,0.228120,0.0,0.0
0.105065,0.228707,0.0,0.0
0.105475,0.229291,0.0,0.0
0.105886,0.229873,0.0,0.0
0.106296,0.230453,0.0,0.0
0.106707,0.231030,0.0,0.0
0.107117,0.231605,0.0,0.0
0.107528,0.232177,0.0,0.0
0.107938,0.232747,0.0,0.0
0.108348,0.233314,0.0,0.0
0.108759,0.233880,0.0,0.0
0.109169,0.234442,0.0,0.0
0.109580,0.235003,0.0,0.0
0.109990,0.235560,0.0,0.0
0.110400,0.236116,0.0,0.0
0.110811,0.236669,0.0,0.0
0.111221,0.237220,0.0,0.0
0.111632,0.237768,0.0,0.0
0.112042,0.238314,0.0,0.0
0.112452,0.238857,0.0,0.0
0.112863,0.239399,0.0,0.0
0.113273,0.239937,0.0,0.0
0.113684,0.240474,0.0,0.0
0.114094,0.241007,0.0,0.0
0.114505,0.241539,0.0,0.0
0.114915,0.242068,0.0,0.0
0.115325,0.242595,0.0,0.0
0.115736,0.243119,0.0,0.0
0.116146,0.243641,0.0,0.0
0.116557,0.244160,0.0,0.0
0.116967,0.244677,0.0,0.0
0.117377,0.245192,0.0,0.0
0.117788,0.245704,0.0,0.0
0.118198,0.246214,0.0,0.0
0.118609,0.246721,0.0,0.0
0.119019,0.247226,0.0,0.0
0.119429,0.247729,0.0,0.0
0.119840,0.248229,0.0,0.0
0.120250,0.248727,0.0,0.0
0.120661,0.249222,0.0,0.0
0.121071,0.249715,0.0,0.0
0.121481,0.250206,0.0,0.0
0.121892,0.250694,0.0,0.0
0.122302,0.251180,0.0,0.0
0.122713,0.251663,0.0,0.0
0.123123,0.252144,0.0,0.0
0.123534,0.252623,0.0,0.0
0.123944,0.253099,0.0,0.0
0.124354,0.253572,0.0,0.0
0.124765,0.254044,0.0,0.0
0.125175,0.254513,0.0,0.0
0.125586,0.254979,0.0,0.0
0.125996,0.255443,0.0,0.0
0.126406,0.255905,0.0,0.0
0.126817,0.256364,0.0,0.0
0.127227,0.256821,0.0,0.0
0.127638,0.257276,0.0,0.0
0.128048,0.257728,0.0,0.0
0.128458,0.258178,0.0,0.0
0.128869,0.258625,0.0,0.0
0.129279,0.259070,0.0,0.0
0.129690,0.259512,0.0,0.0
0.130100,0.259952,0.0,0.0
0.130511,0.260390,0.0,0.0
0.130921,0.260825,0.0,0.0
0.131331,0.261258,0.0,0.0
0.131742,0.261689,0.0,0.0
0.132152,0.262117,0.0,0.0
0.132563,0.262542,0.0,0.0
0.132973,0.262966,0.0,0.0
0.133383,0.263387,0.0,0.0
0.133794,0.263805,0.0,0.0
0.134204,0.264221,0.0,0.0
0.134615,0.264635,0.0,0.0
0.135025,0.265046,0.0,0.0
0.135435,0.265455,0.0,0.0
0.135846,0.265861,0.0,0.0
0.136256,0.266265,0.0,0.0
0.136667,0.266667,0.0,0.0
0.137077,0.267066,0.0,0.0
0.137487,0.267463,0.0,0.0
0.137898,0.267857,0.0,0.0
0.138308,0.268249,0.0,0.0
0.138719,0.268639,0.0,0.0
0.139129,0.269026,0.0,0.0
0.139540,0.269411,0.0,0.0
0.139950,0.269793,0.0,0.0
0.140360,0.270173,0.0,0.0
0.140771,0.270550,0.0,0.0
0.141181,0.270926,0.0,0.0
0.141592,0.271298,0.0,0.0
0.142002,0.271669,0.0,0.0
0.142412,0.272037,0.0,0.0
0.142823,0.272402,0.0,0.0
0.143233,0.272765,0.0,0.0
0.143644,0.273126,0.0,0.0
0.144054,0.273484,0.0,0.0
0.144464,0.273840,0.0,0.0
0.144875,0.274194,0.0,0.0
0.145285,0.274545,0.0,0.0
0.145696,0.274894,0.0,0.0
0.146106,0.275240,0.0,0.0
0.146517,0.275584,0.0,0.0
0.146927,0.275925,0.0,0.0
0.147337,0.276264,0.0,0.0
0.147748,0.276601,0.0,0.0
0.148158,0.276935,0.0,0.0
0.148569,0.277267,0.0,0.0
0.148979,0.277597,0.0,0.0
0.149389,0.277924,0.0,0.0
0.149800,0.278248,0.0,0.0
0.150210,0.278570,0.0,0.0
0.150621,0.278890,0.0,0.0
0.151031,0.279208,0.0,0.0
0.151441,0.279523,0.0,0.0
0.151852,0.279835,0.0,0.0
0.152262,0.280146,0.0,0.0
0.152673,0.280453,0.0,0.0
0.153083,0.280759,0.0,0.0
0.153493,0.281062,0.0,0.0
0.153904,0.281362,0.0,0.0
0.154314,0.281661,0.0,0.0
0.154725,0.281956,0.0,0.0
0.155135,0.282250,0.0,0.0
0.155546,0.282541,0.0,0.0
0.155956,0.282829,0.0,0.0
0.156366,0.283116,0.0,0.0
0.156777,0.283399,0.0,0.0
0.157187,0.283681,0.0,0.0
0.157598,0.283960,0.0,0.0
0.158008,0.284236,0.0,0.0
0.158418,0.284510,0.0,0.0
0.158829,0.284782,0.0,0.0
0.159239,0.285051,0.0,0.0
0.159650,0.285318,0.0,0.0
0.160060,0.285583,0.0,0.0
0.160470,0.285845,0.0,0.0
0.160881,0.286105,0.0,0.0
0.161291,0.286362,0.0,0.0
0.161702,0.286617,0.0,0.0
0.162112,0.286869,0.0,0.0
0.162523,0.287120,0.0,0.0
0.162933,0.287367,0.0,0.0
0.163343,0.287613,0.0,0.0
0.163754,0.287855,0.0,0.0
0.164164,0.288096,0.0,0.0
0.164575,0.288334,0.0,0.0
0.164985,0.288570,0.0,0.0
0.165395,0.288803,0.0,0.0
0.165806,0.289034,0.0,0.0
0.166216,0.289262,0.0,0.0
0.166627,0.289488,0.0,0.0
0.167037,0.289712,0.0,0.0
0.167447,0.289933,0.0,0.0
0.167858,0.290152,0.0,0.0
0.168268,0.290368,0.0,0.0
0.168679,0.290582,0.0,0.0
0.169089,0.290794,0.0,0.0
0.169499,0.291003,0.0,0.0
0.169910,0.291210,0.0,0.0
0.170320,0.291415,0.0,0.0
0.170731,0.291617,0.0,0.0
0.171141,0.291816,0.0,0.0
0.171552,0.292013,0.0,0.0
0.171962,0.292208,0.0,0.0
0.172372,0.292401,0.0,0.0
0.172783,0.292590,0.0,0.0
0.173193,0.292778,0.0,0.0
0.173604,0.292963,0.0,0.0
0.174014,0.293146,0.0,0.0
0.174424,0.293326,0.0,0.0
0.174835,0.293504,0.0,0.0
0.175245,0.293680,0.0,0.0
0.175656,0.293853,0.0,0.0
0.176066,0.294024,0.0,0.0
0.176476,0.294192,0.0,0.0
0.176887,0.294358,0.0,0.0
0.177297,0.294522,0.0,0.0
0.177708,0.294683,0.0,0.0
0.178118,0.294841,0.0,0.0
0.178529,0.294998,0.0,0.0
0.178939,0.295152,0.0,0.0
0.179349,0.295303,0.0,0.0
0.179760,0.295452,0.0,0.0
0.180170,0.295599,0.0,0.0
0.180581,0.295743,0.0,0.0
0.180991,0.295885,0.0,0.0
0.181401,0.296025,0.0,0.0
0.181812,0.296162,0.0,0.0
0.182222,0.296296,0.0,0.0
0.182633,0.296429,0.0,0.0
0.183043,0.296558,0.0,0.0
0.183453,0.296686,0.0,0.0
0.183864,0.296811,0.0,0.0
0.184274,0.296934,0.0,0.0
0.184685,0.297054,0.0,0.0
0.185095,0.297172,0.0,0.0
0.185506,0.297287,0.0,0.0
0.185916,0.297400,0.0,0.0
0.186326,0.297511,0.0,0.0
0.186737,0.297619,0.0,0.0
0.187147,0.297725,0.0,0.0
0.187558,0.297828,0.0,0.0
0.187968,0.297929,0.0,0.0
0.188378,0.298028,0.0,0.0
0.188789,0.298124,0.0,0.0
0.189199,0.298218,0.0,0.0
0.189610,0.298309,0.0,0.0
0.190020,0.298398,0.0,0.0
0.190430,0.298485,0.0,0.0
0.190841,0.298569,0.0,0.0
0.191251,0.298651,0.0,0.0
0.191662,0.298730,0.0,0.0
0.192072,0.298807,0.0,0.0
0.192482,0.298881,0.0,0.0
0.192893,0.298954,0.0,0.0
0.193303,0.299023,0.0,0.0
0.193714,0.299091,0.0,0.0
0.194124,0.299156,0.0,0.0
0.194535,0.299218,0.0,0.0
0.194945,0.299278,0.0,0.0
0.195355,0.299336,0.0,0.0
0.195766,0.299391,0.0,0.0
0.196176,0.299444,0.0,0.0
0.196587,0.299495,0.0,0.0
0.196997,0.299543,0.0,0.0
0.197407,0.299588,0.0,0.0
0.197818,0.299632,0.0,0.0
0.198228,0.299673,0.0,0.0
0.198639,0.299711,0.0,0.0
0.199049,0.299747,0.0,0.0
0.199459,0.299781,0.0,0.0
0.199870,0.299812,0.0,0.0
0.200280,0.299841,0.0,0.0
0.200691,0.299867,0.0,0.0
0.201101,0.299891,0.0,0.0
0.201512,0.299913,0.0,0.0
0.201922,0.299932,0.0,0.0
0.202332,0.299949,0.0,0.0
0.202743,0.299964,0.0,0.0
0.203153,0.299976,0.0,0.0
0.203564,0.299985,0.0,0.0
0.203974,0.299992,0.0,0.0
0.204384,0.299997,0.0,0.0
0.204795,0.300000,0.0,0.0
0.205205,0.300000,0.0,0.0
0.205616,0.299997,0.0,0.0
0.206026,0.299992,0.0,0.0
